value,date
1,2018-05-07
0,2018-05-06
1,2018-05-05
0,2018-05-04
0,2018-05-03
0,2018-05-02
1,2018-05-01
0,2018-04-30
0,2018-04-29
0,2018-04-28
0,2018-04-27
0,2018-04-26
0,2018-04-25
0,2018-04-24
0,2018-04-23
0,2018-04-22
0,2018-04-21
1,2018-04-20
0,2018-04-19
0,2018-04-18
0,2018-04-17
0,2018-04-16
0,2018-04-15
0,2018-04-14
1,2018-04-13
0,2018-04-12
0,2018-04-11
1,2018-04-10
0,2018-04-09
0,2018-04-08
1,2018-04-07
1,2018-04-06
1,2018-04-05
0,2018-04-04
0,2018-04-03
1,2018-04-02
1,2018-04-01
1,2018-03-31
0,2018-03-30
1,2018-03-29
0,2018-03-28
0,2018-03-27
0,2018-03-26
1,2018-03-25
0,2018-03-24
0,2018-03-23
0,2018-03-22
0,2018-03-21
0,2018-03-20
1,2018-03-19
1,2018-03-18
1,2018-03-17
0,2018-03-16
1,2018-03-15
0,2018-03-14
0,2018-03-13
0,2018-03-12
0,2018-03-11
0,2018-03-10
0,2018-03-09
0,2018-03-08
1,2018-03-07
1,2018-03-06
,2018-03-05
1,2018-03-04
0,2018-03-03
0,2018-03-02
1,2018-03-01
1,2018-02-28
,2018-02-27
1,2018-02-26
1,2018-02-25
1,2018-02-24
1,2018-02-23
