"value","date"
"2","2018-05-07"
"4","2018-05-06"
"4","2018-05-05"
"5","2018-05-04"
"4","2018-05-03"
"3","2018-05-02"
"2","2018-05-01"
"5","2018-04-30"
"4","2018-04-29"
"3","2018-04-28"
"2","2018-04-27"
"4","2018-04-26"
"4","2018-04-25"
"2","2018-04-24"
"4","2018-04-23"
"2","2018-04-22"
"3","2018-04-21"
"2","2018-04-20"
"4","2018-04-19"
"5","2018-04-18"
"4","2018-04-17"
"5","2018-04-16"
"4","2018-04-15"
"4","2018-04-14"
"5","2018-04-13"
"3","2018-04-12"
"3","2018-04-11"
"3","2018-04-10"
"3","2018-04-09"
"3","2018-04-08"
"2","2018-04-07"
"2","2018-04-06"
"2","2018-04-05"
"4","2018-04-04"
"2","2018-04-03"
"4","2018-04-02"
"3","2018-04-01"
"4","2018-03-31"
"4","2018-03-30"
"2","2018-03-29"
"4","2018-03-28"
"5","2018-03-27"
"5","2018-03-26"
"2","2018-03-25"
"4","2018-03-24"
"4","2018-03-23"
"3","2018-03-22"
"5","2018-03-21"
"4","2018-03-20"
"4","2018-03-19"
"3","2018-03-18"
"5","2018-03-17"
"3","2018-03-16"
"3","2018-03-15"
"4","2018-03-14"
"2","2018-03-13"
"3","2018-03-12"
"5","2018-03-11"
"4","2018-03-10"
"3","2018-03-09"
"4","2018-03-08"
"3","2018-03-07"
"1","2018-03-06"
"1","2018-03-05"
"1","2018-03-04"
"2","2018-03-03"
"2","2018-03-02"
"2","2018-03-01"
"3","2018-02-28"
"2","2018-02-27"
"1","2018-02-26"
"2","2018-02-25"
"2","2018-02-24"
"1","2018-02-23"
