value,date
,2018-05-08
7392,2018-05-07
616,2018-05-06
8205,2018-05-05
9951,2018-05-04
7893,2018-05-03
10679,2018-05-02
9789,2018-05-01
11464,2018-04-30
883,2018-04-29
5312,2018-04-28
4936,2018-04-27
6246,2018-04-26
12150,2018-04-25
8313,2018-04-24
5207,2018-04-23
5570,2018-04-22
1085,2018-04-21
7992,2018-04-20
7861,2018-04-19
8858,2018-04-18
6764,2018-04-17
8624,2018-04-16
5934,2018-04-15
9583,2018-04-14
7718,2018-04-13
5440,2018-04-12
9025,2018-04-11
6880,2018-04-10
7456,2018-04-09
1546,2018-04-08
4944,2018-04-07
5833,2018-04-06
9657,2018-04-05
12417,2018-04-04
7182,2018-04-03
8339,2018-04-02
4117,2018-04-01
2937,2018-03-31
6442,2018-03-30
6336,2018-03-29
10697,2018-03-28
6760,2018-03-27
7001,2018-03-26
3191,2018-03-25
439,2018-03-24
8719,2018-03-23
6459,2018-03-22
6682,2018-03-21
6412,2018-03-20
6304,2018-03-19
3078,2018-03-18
1462,2018-03-17
6841,2018-03-16
8495,2018-03-15
10226,2018-03-14
10805,2018-03-13
7856,2018-03-12
2664,2018-03-11
4339,2018-03-10
5541,2018-03-09
5464,2018-03-08
11248,2018-03-07
7360,2018-03-06
7220,2018-03-05
69,2018-03-04
1495,2018-03-03
2222,2018-03-02
7059,2018-03-01
11430,2018-02-28
6727,2018-02-27
6295,2018-02-26
128,2018-02-25
1833,2018-02-24
5635,2018-02-23
5445,2018-02-22
12338,2018-02-21
3196,2018-02-20
53,2018-02-19
7,2018-02-18
2810,2018-02-17
72,2018-02-16
70,2018-02-15
6911,2018-02-14
2558,2018-02-13
7477,2018-02-12
4511,2018-02-11
1368,2018-02-10
8144,2018-02-09
7090,2018-02-08
6364,2018-02-07
6575,2018-02-06
11901,2018-02-05
3004,2018-02-04
49,2018-02-03
7403,2018-02-02
6826,2018-02-01
11823,2018-01-31
7940,2018-01-30
5071,2018-01-29
6361,2018-01-28
168,2018-01-27
6037,2018-01-26
4394,2018-01-25
7014,2018-01-24
5091,2018-01-23
6973,2018-01-22
1803,2018-01-21
1973,2018-01-20
7510,2018-01-19
7041,2018-01-18
8469,2018-01-17
5310,2018-01-16
8,2018-01-15
9,2018-01-14
3643,2018-01-13
7991,2018-01-12
6631,2018-01-11
2341,2018-01-10
8063,2018-01-09
5610,2018-01-08
13,2018-01-07
4505,2018-01-06
8684,2018-01-05
9005,2018-01-04
5963,2018-01-03
5439,2018-01-02
1881,2018-01-01
8394,2017-12-31
5654,2017-12-30
491,2017-12-29
748,2017-12-28
2360,2017-12-27
2419,2017-12-26
1272,2017-12-25
536,2017-12-24
3940,2017-12-23
13683,2017-12-22
4527,2017-12-21
8080,2017-12-20
5481,2017-12-19
5571,2017-12-18
18,2017-12-17
4283,2017-12-16
10912,2017-12-15
5772,2017-12-14
13591,2017-12-13
7644,2017-12-12
9046,2017-12-11
13768,2017-12-09
6617,2017-12-08
4709,2017-12-07
9010,2017-12-06
5222,2017-12-05
9823,2017-12-04
856,2017-12-03
14,2017-12-02
7442,2017-12-01
7099,2017-11-30
5416,2017-11-29
4966,2017-11-28
6402,2017-11-27
1675,2017-11-26
2935,2017-11-25
5492,2017-11-24
436,2017-11-23
8127,2017-11-22
5526,2017-11-21
5483,2017-11-20
55,2017-11-19
2366,2017-11-18
6326,2017-11-17
5636,2017-11-16
6131,2017-11-15
9722,2017-11-13
710,2017-11-12
8690,2017-11-11
786,2017-11-10
4966,2017-11-09
